"1","お取引日","お取引内容","お取引通貨","お取引金額","お取引手数料","ATM手数料","海外事務手数料","ご利用通貨","ご利用金額","ご利用手数料","換算レート"
"2","2023/06/24","ﾋﾟｱｺﾞﾗﾌｰｽﾞｺｱﾐｶﾜｱﾝｼﾞｮｳﾃﾝ","JPY","409.00","0.00","0.00","0.00","","0.00","0.00","0.00"
"2","2023/06/24","ﾄﾄﾏﾙ ﾐｶﾜｱﾝｼﾞﾖｳﾃﾝ","JPY","3047.00","0.00","0.00","0.00","","0.00","0.00","0.00"
"2","2023/06/24","ﾒｶﾞﾄﾞﾝｷﾎｰﾃｼﾝｱﾝｼﾞｮｳﾃﾝ","JPY","2158.00","0.00","0.00","0.00","","0.00","0.00","0.00"
"2","2023/06/24","バロー（Ｖ・Ｄｒｕｇ）／ｉＤ","JPY","6307.00","0.00","0.00","0.00","","0.00","0.00","0.00"
"2","2023/06/18","ﾏﾙｽｱﾝｼﾞﾖｳｱﾝﾌｵ-ﾚﾃﾝ","JPY","5801.00","0.00","0.00","0.00","","0.00","0.00","0.00"
"2","2023/06/18","ｼﾞｴｲｱ-ﾙﾅｺﾞﾔﾀｶｼﾏﾔ","JPY","1944.00","0.00","0.00","0.00","","0.00","0.00","0.00"
"2","2023/06/18","イオン　岡崎南／ｉＤ","JPY","1540.00","0.00","0.00","0.00","","0.00","0.00","0.00"
"2","2023/06/18","ｲｵﾝﾓｰﾙｵｶｻﾞｷ","JPY","990.00","0.00","0.00","0.00","","0.00","0.00","0.00"
"2","2023/06/15","ｿﾌﾄﾊﾞﾝｸM(05ｶﾞﾂ)","JPY","1100.00","0.00","0.00","0.00","","0.00","0.00","0.00"
"2","2023/06/15","１４３４マツモトキヨシＤＳ安城横山／ｉＤ","JPY","604.00","0.00","0.00","0.00","","0.00","0.00","0.00"
"2","2023/06/10","１４３４マツモトキヨシＤＳ安城横山／ｉＤ","JPY","1487.00","0.00","0.00","0.00","","0.00","0.00","0.00"
"2","2023/06/04","吉野家１号線岡崎東／ｉＤ","JPY","1311.00","0.00","0.00","0.00","","0.00","0.00","0.00"
